participant_id,condition,session_mode,participant_group,baseline_recall,recruitment_wave,site,retained_7d
p_002520,rereading,remote,undergraduate,high,early,west,1
p_002521,retrieval_practice,lab,community,low,early,east,0
p_002522,retrieval_practice,lab,undergraduate,high,late,east,0
p_002523,rereading,lab,community,high,early,east,1
p_002524,rereading,lab,undergraduate,low,late,west,0
p_002525,retrieval_practice,lab,undergraduate,low,early,west,1
p_002526,retrieval_practice,lab,undergraduate,high,late,west,0
p_002527,retrieval_practice,lab,undergraduate,low,late,west,0
p_002528,retrieval_practice,lab,community,high,early,west,0
p_002529,rereading,lab,community,high,late,east,1
p_002530,rereading,lab,undergraduate,high,late,west,1
p_002531,retrieval_practice,lab,community,low,late,west,0
p_002532,rereading,lab,undergraduate,high,late,east,1
p_002533,retrieval_practice,lab,undergraduate,low,early,east,0
p_002534,rereading,lab,community,low,late,east,0
p_002535,retrieval_practice,remote,community,low,early,west,1
p_002536,retrieval_practice,lab,community,high,late,east,1
p_002537,retrieval_practice,remote,undergraduate,high,early,west,1
p_002538,retrieval_practice,lab,undergraduate,high,early,west,0
p_002539,rereading,remote,undergraduate,low,early,east,0
p_002540,retrieval_practice,lab,undergraduate,low,early,east,0
p_002541,retrieval_practice,lab,community,high,early,west,1
p_002542,rereading,remote,community,low,late,east,0
p_002543,retrieval_practice,lab,community,low,early,west,0
p_002544,rereading,remote,undergraduate,low,late,west,1
p_002545,retrieval_practice,lab,undergraduate,high,early,east,1
p_002546,retrieval_practice,remote,undergraduate,high,early,east,1
p_002547,rereading,remote,community,high,early,east,1
p_002548,retrieval_practice,lab,undergraduate,high,early,east,1
p_002549,rereading,lab,undergraduate,high,late,east,1
p_002550,retrieval_practice,lab,undergraduate,low,late,east,1
p_002551,rereading,lab,community,high,early,east,0
p_002552,retrieval_practice,lab,undergraduate,high,late,east,0
p_002553,rereading,remote,undergraduate,low,early,east,0
p_002554,rereading,remote,undergraduate,low,early,west,0
p_002555,retrieval_practice,remote,undergraduate,low,early,east,0
p_002556,rereading,remote,undergraduate,high,late,east,0
p_002557,retrieval_practice,remote,undergraduate,low,early,east,0
p_002558,retrieval_practice,lab,undergraduate,high,early,east,1
p_002559,rereading,lab,undergraduate,high,late,east,0
p_002560,retrieval_practice,remote,undergraduate,low,late,west,1
p_002561,rereading,lab,undergraduate,low,early,west,0
p_002562,retrieval_practice,remote,community,high,late,west,1
p_002563,rereading,lab,community,low,early,west,1
p_002564,retrieval_practice,remote,undergraduate,high,late,west,0
p_002565,retrieval_practice,remote,undergraduate,low,late,west,1
p_002566,retrieval_practice,remote,undergraduate,high,early,west,1
p_002567,retrieval_practice,remote,undergraduate,high,late,east,1
p_002568,retrieval_practice,remote,undergraduate,high,early,east,0
p_002569,retrieval_practice,lab,undergraduate,low,late,west,0
p_002570,rereading,lab,undergraduate,low,early,east,1
p_002571,retrieval_practice,lab,undergraduate,high,late,west,0
p_002572,retrieval_practice,lab,undergraduate,low,early,east,0
p_002573,rereading,lab,community,high,late,west,1
p_002574,rereading,lab,undergraduate,high,early,west,0
p_002575,rereading,remote,undergraduate,low,late,east,1
p_002576,retrieval_practice,remote,community,low,early,east,0
p_002577,rereading,remote,community,low,late,east,1
p_002578,rereading,remote,undergraduate,high,early,west,1
p_002579,retrieval_practice,lab,community,high,late,west,1
p_002580,retrieval_practice,lab,undergraduate,high,late,east,0
p_002581,retrieval_practice,lab,community,high,early,west,0
p_002582,rereading,lab,community,low,late,west,1
p_002583,retrieval_practice,lab,undergraduate,low,early,west,1
p_002584,retrieval_practice,remote,undergraduate,low,late,east,0
p_002585,rereading,lab,undergraduate,low,late,east,1
p_002586,retrieval_practice,lab,undergraduate,low,late,west,0
p_002587,retrieval_practice,lab,undergraduate,high,late,east,0
p_002588,rereading,lab,community,high,early,east,1
p_002589,rereading,remote,undergraduate,low,early,east,0
p_002590,retrieval_practice,lab,undergraduate,high,late,east,1
p_002591,rereading,lab,undergraduate,low,early,east,0
p_002592,rereading,lab,community,low,early,east,0
p_002593,rereading,remote,undergraduate,high,late,east,0
p_002594,retrieval_practice,lab,community,high,early,east,0
p_002595,rereading,lab,community,high,late,east,1
p_002596,retrieval_practice,remote,undergraduate,high,late,east,0
p_002597,retrieval_practice,lab,undergraduate,low,early,east,1
p_002598,rereading,remote,undergraduate,high,early,west,1
p_002599,rereading,lab,undergraduate,high,late,east,0
p_002600,rereading,lab,community,low,late,east,0
p_002601,retrieval_practice,remote,community,low,late,west,0
p_002602,rereading,lab,community,high,early,west,0
p_002603,rereading,remote,undergraduate,high,late,east,0
p_002604,rereading,remote,undergraduate,high,early,west,0
p_002605,retrieval_practice,remote,community,high,late,west,0
p_002606,rereading,lab,undergraduate,high,late,east,1
p_002607,retrieval_practice,lab,community,low,early,east,1
p_002608,rereading,remote,undergraduate,low,early,east,0
p_002609,retrieval_practice,lab,community,low,late,east,1
p_002610,retrieval_practice,lab,community,low,late,west,1
p_002611,retrieval_practice,lab,undergraduate,low,early,west,0
p_002612,rereading,remote,undergraduate,high,early,east,1
p_002613,retrieval_practice,remote,undergraduate,low,early,west,0
p_002614,rereading,lab,community,low,late,west,1
p_002615,retrieval_practice,lab,undergraduate,low,early,west,0
p_002616,retrieval_practice,lab,undergraduate,high,early,west,1
p_002617,retrieval_practice,remote,community,low,late,west,1
p_002618,rereading,lab,undergraduate,low,early,west,0
p_002619,retrieval_practice,remote,undergraduate,low,late,west,1
p_002620,rereading,lab,undergraduate,high,early,west,1
p_002621,retrieval_practice,lab,undergraduate,low,late,west,0
p_002622,retrieval_practice,lab,community,high,early,west,1
p_002623,retrieval_practice,lab,community,low,early,west,1
p_002624,rereading,lab,community,low,early,east,1
p_002625,rereading,lab,undergraduate,low,late,east,0
p_002626,rereading,lab,undergraduate,high,late,east,1
p_002627,rereading,lab,undergraduate,high,late,west,0
p_002628,retrieval_practice,remote,undergraduate,low,late,east,1
p_002629,retrieval_practice,lab,community,high,early,west,1
p_002630,rereading,remote,community,high,late,west,1
p_002631,retrieval_practice,remote,undergraduate,low,early,west,1
p_002632,rereading,lab,undergraduate,high,late,west,0
p_002633,retrieval_practice,remote,community,low,early,west,1
p_002634,retrieval_practice,lab,undergraduate,low,early,west,1
p_002635,retrieval_practice,lab,undergraduate,high,late,east,1
p_002636,rereading,lab,community,high,late,west,0
p_002637,rereading,remote,undergraduate,low,early,east,0
p_002638,rereading,lab,undergraduate,low,late,east,0
p_002639,retrieval_practice,remote,undergraduate,low,late,east,1
p_002640,rereading,remote,community,high,late,east,1
p_002641,rereading,lab,community,high,late,west,0
p_002642,retrieval_practice,lab,community,low,early,west,0
p_002643,retrieval_practice,lab,undergraduate,high,late,east,0
p_002644,retrieval_practice,lab,community,low,late,east,1
p_002645,retrieval_practice,lab,community,high,late,east,1
p_002646,retrieval_practice,lab,community,high,late,west,1
p_002647,rereading,remote,undergraduate,low,late,east,0
p_002648,rereading,lab,community,high,early,west,1
p_002649,rereading,remote,undergraduate,high,late,east,0
p_002650,retrieval_practice,lab,undergraduate,high,late,east,1
p_002651,retrieval_practice,lab,community,low,early,west,0
p_002652,rereading,lab,undergraduate,low,early,east,1
p_002653,rereading,lab,community,low,late,west,0
p_002654,retrieval_practice,remote,community,high,late,east,1
p_002655,rereading,lab,community,low,late,west,1
p_002656,rereading,lab,community,low,late,east,1
p_002657,rereading,remote,community,low,early,west,1
p_002658,retrieval_practice,lab,community,low,late,west,1
p_002659,retrieval_practice,remote,community,high,early,west,1
p_002660,rereading,lab,undergraduate,low,late,west,0
p_002661,retrieval_practice,lab,undergraduate,high,early,west,0
p_002662,rereading,lab,undergraduate,low,early,east,0
p_002663,retrieval_practice,lab,community,low,early,east,0
p_002664,retrieval_practice,lab,community,high,late,east,1
p_002665,retrieval_practice,remote,community,high,early,east,0
p_002666,retrieval_practice,lab,community,low,early,west,0
p_002667,rereading,remote,undergraduate,high,early,east,1
p_002668,retrieval_practice,remote,undergraduate,low,early,west,1
p_002669,rereading,lab,undergraduate,high,early,east,0
p_002670,rereading,lab,undergraduate,low,late,east,1
p_002671,rereading,lab,community,high,early,west,1
p_002672,retrieval_practice,lab,undergraduate,low,late,east,0
p_002673,rereading,lab,community,low,late,east,1
p_002674,rereading,lab,undergraduate,high,early,east,1
p_002675,retrieval_practice,remote,community,high,early,east,1
p_002676,retrieval_practice,lab,undergraduate,low,late,west,0
p_002677,rereading,remote,community,low,early,west,1
p_002678,retrieval_practice,remote,undergraduate,high,late,east,1
p_002679,retrieval_practice,lab,undergraduate,low,late,west,1
p_002680,retrieval_practice,lab,community,high,early,west,0
p_002681,retrieval_practice,remote,undergraduate,low,early,east,0
p_002682,rereading,lab,community,high,early,west,1
p_002683,retrieval_practice,remote,undergraduate,low,late,west,1
p_002684,retrieval_practice,lab,undergraduate,low,early,east,0
p_002685,retrieval_practice,remote,undergraduate,high,late,east,1
p_002686,rereading,lab,undergraduate,high,late,west,1
p_002687,rereading,remote,undergraduate,high,late,east,1
p_002688,rereading,remote,undergraduate,low,early,west,1
p_002689,retrieval_practice,lab,community,high,late,west,0
p_002690,rereading,lab,community,high,late,west,0
p_002691,rereading,lab,community,low,late,west,1
p_002692,retrieval_practice,lab,undergraduate,high,late,east,0
p_002693,rereading,lab,community,high,late,east,0
p_002694,rereading,lab,undergraduate,low,late,east,0
p_002695,retrieval_practice,lab,community,high,late,west,1
p_002696,retrieval_practice,lab,community,high,late,west,0
p_002697,retrieval_practice,lab,community,high,late,west,1
p_002698,retrieval_practice,remote,undergraduate,high,early,west,1
p_002699,retrieval_practice,remote,community,high,late,east,0
p_002700,retrieval_practice,remote,undergraduate,high,late,east,0
p_002701,retrieval_practice,lab,community,high,early,east,0
p_002702,rereading,lab,community,high,late,east,0
p_002703,retrieval_practice,lab,undergraduate,low,late,west,1
p_002704,rereading,lab,undergraduate,high,late,east,1
p_002705,retrieval_practice,lab,undergraduate,high,late,east,1
p_002706,retrieval_practice,remote,undergraduate,low,late,east,0
p_002707,retrieval_practice,remote,undergraduate,high,late,west,1
p_002708,retrieval_practice,remote,undergraduate,low,early,west,0
p_002709,rereading,lab,undergraduate,high,early,east,1
p_002710,rereading,lab,community,low,late,west,0
p_002711,retrieval_practice,remote,community,low,early,west,1
p_002712,retrieval_practice,lab,undergraduate,high,late,east,1
p_002713,retrieval_practice,lab,community,low,late,west,0
p_002714,rereading,lab,undergraduate,low,late,west,1
p_002715,retrieval_practice,lab,undergraduate,low,late,west,1
p_002716,rereading,lab,undergraduate,low,late,east,0
p_002717,retrieval_practice,remote,community,high,late,east,0
p_002718,rereading,lab,undergraduate,high,late,west,1
p_002719,rereading,remote,community,high,late,west,0
p_002720,rereading,lab,undergraduate,low,late,west,1
p_002721,rereading,remote,undergraduate,high,early,east,1
p_002722,retrieval_practice,lab,community,high,late,west,1
p_002723,rereading,lab,undergraduate,high,late,west,1
p_002724,retrieval_practice,lab,community,high,early,east,1
p_002725,rereading,remote,community,low,late,west,0
p_002726,retrieval_practice,lab,undergraduate,low,early,west,1
p_002727,rereading,lab,community,high,early,west,0
p_002728,rereading,lab,community,high,early,west,0
p_002729,rereading,remote,undergraduate,low,late,west,1
p_002730,retrieval_practice,remote,community,high,early,east,0
p_002731,retrieval_practice,lab,community,low,early,east,0
p_002732,retrieval_practice,lab,community,low,early,west,1
p_002733,retrieval_practice,remote,community,high,late,west,1
p_002734,rereading,lab,undergraduate,low,early,west,1
p_002735,rereading,lab,undergraduate,high,late,west,1
p_002736,rereading,remote,undergraduate,low,early,east,1
p_002737,rereading,lab,undergraduate,low,late,east,1
p_002738,retrieval_practice,remote,undergraduate,low,late,west,0
p_002739,retrieval_practice,lab,community,low,late,west,0
p_002740,retrieval_practice,remote,community,high,late,east,0
p_002741,rereading,lab,community,low,early,east,1
p_002742,retrieval_practice,lab,community,high,late,east,1
p_002743,retrieval_practice,remote,community,high,late,west,1
p_002744,retrieval_practice,remote,community,low,late,east,1
p_002745,rereading,lab,undergraduate,high,late,west,1
p_002746,rereading,lab,undergraduate,high,early,east,1
p_002747,rereading,lab,community,low,late,west,1
p_002748,retrieval_practice,remote,undergraduate,low,early,east,0
p_002749,retrieval_practice,lab,undergraduate,high,early,east,1
p_002750,rereading,lab,undergraduate,high,early,west,0
p_002751,retrieval_practice,remote,community,low,early,east,1
p_002752,retrieval_practice,lab,undergraduate,high,early,east,0
p_002753,rereading,lab,community,low,late,east,1
p_002754,retrieval_practice,remote,undergraduate,low,late,west,1
p_002755,rereading,remote,undergraduate,high,late,west,1
p_002756,rereading,lab,undergraduate,low,early,east,0
p_002757,rereading,remote,community,low,late,east,1
p_002758,retrieval_practice,lab,community,low,late,west,0
p_002759,rereading,lab,community,high,early,west,0
p_002760,rereading,lab,community,high,late,east,0
p_002761,rereading,lab,undergraduate,low,late,west,1
p_002762,retrieval_practice,lab,undergraduate,high,late,east,0
p_002763,rereading,lab,community,low,late,west,1
p_002764,retrieval_practice,lab,undergraduate,high,early,west,0
p_002765,retrieval_practice,remote,undergraduate,low,late,west,0
p_002766,retrieval_practice,remote,undergraduate,low,late,west,1
p_002767,retrieval_practice,remote,undergraduate,low,early,east,0
p_002768,retrieval_practice,remote,undergraduate,high,early,east,1
p_002769,retrieval_practice,lab,undergraduate,low,late,west,0
p_002770,retrieval_practice,lab,undergraduate,high,early,west,0
p_002771,retrieval_practice,remote,undergraduate,high,late,east,0
p_002772,rereading,remote,community,low,late,west,0
p_002773,retrieval_practice,lab,undergraduate,low,late,east,1
p_002774,rereading,lab,community,high,late,west,0
p_002775,retrieval_practice,lab,undergraduate,low,early,east,1
p_002776,retrieval_practice,lab,community,low,early,west,0
p_002777,retrieval_practice,remote,community,low,late,west,0
p_002778,rereading,lab,undergraduate,high,late,west,0
p_002779,rereading,lab,community,low,early,west,0
p_002780,retrieval_practice,remote,undergraduate,high,early,west,0
p_002781,rereading,lab,community,low,late,west,0
p_002782,rereading,remote,undergraduate,high,late,east,0
p_002783,retrieval_practice,lab,community,low,late,west,1
p_002784,rereading,lab,undergraduate,low,late,west,0
p_002785,rereading,lab,undergraduate,high,early,west,1
p_002786,retrieval_practice,lab,undergraduate,low,early,west,1
p_002787,retrieval_practice,lab,undergraduate,low,early,west,0
p_002788,retrieval_practice,lab,community,low,early,east,1
p_002789,retrieval_practice,lab,community,low,late,west,1
p_002790,rereading,remote,undergraduate,high,late,east,1
p_002791,rereading,remote,undergraduate,low,early,west,0
p_002792,retrieval_practice,remote,community,low,early,west,0
p_002793,retrieval_practice,lab,community,high,early,west,0
p_002794,rereading,lab,community,high,late,west,0
p_002795,retrieval_practice,remote,undergraduate,high,early,west,1
p_002796,rereading,lab,undergraduate,high,late,east,1
p_002797,retrieval_practice,lab,undergraduate,high,late,east,1
p_002798,rereading,lab,undergraduate,high,late,west,1
p_002799,retrieval_practice,lab,undergraduate,high,early,west,1
p_002800,rereading,lab,undergraduate,high,early,west,1
p_002801,rereading,remote,undergraduate,low,early,west,0
p_002802,retrieval_practice,lab,undergraduate,low,late,west,0
p_002803,retrieval_practice,lab,community,low,early,east,0
p_002804,rereading,lab,community,low,early,east,1
p_002805,rereading,lab,undergraduate,high,early,west,0
p_002806,rereading,remote,undergraduate,high,early,west,0
p_002807,retrieval_practice,remote,undergraduate,high,early,west,1
p_002808,retrieval_practice,remote,undergraduate,low,late,west,0
p_002809,retrieval_practice,lab,undergraduate,low,early,west,0
p_002810,rereading,lab,undergraduate,low,early,east,1
p_002811,retrieval_practice,lab,undergraduate,low,late,east,1
p_002812,retrieval_practice,lab,undergraduate,low,late,west,0
p_002813,rereading,lab,community,high,early,east,1
p_002814,rereading,lab,undergraduate,high,late,west,0
p_002815,rereading,lab,undergraduate,low,early,west,0
p_002816,rereading,remote,community,low,late,east,1
p_002817,retrieval_practice,lab,community,low,late,east,0
p_002818,rereading,lab,undergraduate,high,early,east,0
p_002819,retrieval_practice,remote,community,low,early,east,1
p_002820,retrieval_practice,lab,undergraduate,low,early,east,0
p_002821,retrieval_practice,remote,community,high,late,east,0
p_002822,retrieval_practice,lab,community,low,late,east,1
p_002823,retrieval_practice,lab,undergraduate,low,early,west,0
p_002824,retrieval_practice,lab,undergraduate,low,early,east,1
p_002825,retrieval_practice,lab,undergraduate,high,late,east,1
p_002826,retrieval_practice,lab,undergraduate,high,early,east,1
p_002827,retrieval_practice,lab,undergraduate,high,late,east,0
p_002828,retrieval_practice,lab,community,high,late,east,1
p_002829,retrieval_practice,remote,undergraduate,high,late,west,1
p_002830,rereading,remote,community,high,early,east,0
p_002831,rereading,remote,community,low,early,east,0
p_002832,retrieval_practice,lab,community,low,early,west,0
p_002833,retrieval_practice,remote,community,high,late,east,1
p_002834,retrieval_practice,remote,undergraduate,low,late,east,1
p_002835,rereading,lab,undergraduate,high,late,west,1
p_002836,rereading,lab,undergraduate,high,late,west,0
p_002837,rereading,lab,undergraduate,high,early,east,1
p_002838,rereading,lab,community,high,early,west,0
p_002839,retrieval_practice,lab,undergraduate,high,early,west,1
p_002840,rereading,lab,undergraduate,high,early,east,0
p_002841,rereading,lab,undergraduate,high,early,east,0
p_002842,rereading,remote,undergraduate,high,early,east,0
p_002843,rereading,remote,community,low,late,east,1
p_002844,rereading,lab,undergraduate,high,early,west,0
p_002845,rereading,remote,community,high,late,west,0
p_002846,rereading,remote,community,high,early,west,0
p_002847,rereading,remote,community,high,late,east,1
p_002848,rereading,lab,community,high,early,east,1
p_002849,retrieval_practice,lab,community,low,late,east,1
p_002850,retrieval_practice,lab,undergraduate,low,early,east,0
p_002851,rereading,remote,community,low,early,east,1
p_002852,retrieval_practice,lab,community,high,late,east,0
p_002853,rereading,remote,undergraduate,low,early,west,1
p_002854,retrieval_practice,lab,community,high,late,east,1
p_002855,retrieval_practice,remote,community,low,late,west,1
p_002856,retrieval_practice,lab,community,low,late,west,0
p_002857,retrieval_practice,lab,community,high,late,east,1
p_002858,retrieval_practice,lab,community,low,early,west,1
p_002859,rereading,lab,undergraduate,high,early,east,1
p_002860,rereading,remote,undergraduate,low,late,west,0
p_002861,rereading,remote,undergraduate,high,late,west,1
p_002862,rereading,lab,community,low,late,east,0
p_002863,retrieval_practice,remote,undergraduate,low,late,west,0
p_002864,retrieval_practice,lab,undergraduate,high,late,east,0
p_002865,rereading,lab,undergraduate,low,early,west,0
p_002866,retrieval_practice,lab,undergraduate,low,early,west,0
p_002867,retrieval_practice,lab,community,high,late,west,1
p_002868,rereading,lab,undergraduate,high,early,east,1
p_002869,rereading,lab,community,low,late,east,0
p_002870,rereading,remote,community,high,early,east,1
p_002871,rereading,remote,community,low,late,west,0
p_002872,rereading,lab,undergraduate,low,late,west,0
p_002873,rereading,lab,undergraduate,high,early,west,0
p_002874,retrieval_practice,remote,community,low,late,east,1
p_002875,retrieval_practice,lab,undergraduate,low,late,west,1
p_002876,retrieval_practice,lab,community,low,late,east,1
p_002877,retrieval_practice,remote,undergraduate,low,early,east,0
p_002878,retrieval_practice,remote,undergraduate,low,early,west,1
p_002879,rereading,remote,undergraduate,high,late,west,1
p_002880,rereading,lab,undergraduate,low,early,east,1
p_002881,rereading,remote,undergraduate,low,early,east,0
p_002882,retrieval_practice,lab,community,low,early,east,0
p_002883,retrieval_practice,lab,undergraduate,low,early,west,0
p_002884,retrieval_practice,lab,undergraduate,high,late,east,1
p_002885,rereading,remote,community,high,early,west,0
p_002886,rereading,lab,community,high,late,west,1
p_002887,retrieval_practice,remote,undergraduate,high,early,east,1
p_002888,rereading,lab,undergraduate,low,late,west,0
p_002889,retrieval_practice,lab,community,low,late,east,1
p_002890,rereading,lab,undergraduate,high,late,east,0
p_002891,retrieval_practice,remote,undergraduate,high,late,east,0
p_002892,rereading,remote,community,high,early,west,0
p_002893,rereading,lab,undergraduate,high,early,east,0
p_002894,retrieval_practice,lab,community,low,late,east,1
p_002895,retrieval_practice,lab,undergraduate,high,early,east,0
p_002896,rereading,lab,community,low,late,west,0
p_002897,retrieval_practice,lab,undergraduate,high,late,west,0
p_002898,rereading,remote,undergraduate,low,early,west,1
p_002899,retrieval_practice,lab,undergraduate,high,late,east,1
p_002900,rereading,lab,undergraduate,low,late,east,0
p_002901,retrieval_practice,lab,undergraduate,high,early,east,1
p_002902,rereading,remote,undergraduate,low,early,west,1
p_002903,rereading,lab,community,high,early,east,1
p_002904,rereading,remote,undergraduate,high,early,east,1
p_002905,retrieval_practice,remote,undergraduate,low,early,west,1
p_002906,retrieval_practice,remote,undergraduate,low,early,west,1
p_002907,rereading,lab,undergraduate,low,late,west,0
p_002908,rereading,lab,undergraduate,low,early,east,0
p_002909,rereading,lab,undergraduate,low,late,west,0
p_002910,rereading,remote,undergraduate,low,late,west,0
p_002911,rereading,lab,undergraduate,low,early,west,0
p_002912,rereading,lab,community,high,early,west,0
p_002913,rereading,lab,undergraduate,high,early,west,0
p_002914,retrieval_practice,remote,community,high,late,west,0
p_002915,rereading,remote,community,low,early,east,0
p_002916,retrieval_practice,lab,undergraduate,high,late,east,0
p_002917,retrieval_practice,remote,undergraduate,low,early,east,0
p_002918,retrieval_practice,lab,community,high,late,west,1
p_002919,rereading,lab,undergraduate,high,early,west,0
p_002920,rereading,lab,undergraduate,low,early,east,1
p_002921,retrieval_practice,lab,undergraduate,low,late,west,1
p_002922,rereading,lab,community,high,early,east,1
p_002923,retrieval_practice,lab,undergraduate,high,late,west,1
p_002924,rereading,remote,community,high,late,west,1
p_002925,retrieval_practice,remote,undergraduate,low,early,east,0
p_002926,rereading,lab,undergraduate,low,early,east,1
p_002927,rereading,lab,undergraduate,low,early,east,0
p_002928,retrieval_practice,remote,community,high,early,east,0
p_002929,rereading,remote,undergraduate,low,late,east,1
p_002930,retrieval_practice,lab,community,low,early,west,0
p_002931,retrieval_practice,lab,undergraduate,low,late,west,0
p_002932,rereading,remote,community,low,late,east,0
p_002933,retrieval_practice,lab,undergraduate,high,late,west,1
p_002934,rereading,remote,community,low,early,west,0
p_002935,rereading,lab,undergraduate,low,early,west,1
p_002936,retrieval_practice,remote,community,low,early,west,0
p_002937,rereading,lab,community,high,late,west,1
p_002938,retrieval_practice,lab,undergraduate,high,late,west,1
p_002939,rereading,remote,community,low,late,west,0
p_002940,rereading,remote,undergraduate,high,late,east,1
p_002941,rereading,remote,community,low,late,west,0
p_002942,retrieval_practice,lab,community,high,late,west,1
p_002943,retrieval_practice,remote,community,low,early,east,1
p_002944,retrieval_practice,remote,community,high,early,west,0
p_002945,retrieval_practice,remote,undergraduate,high,late,east,1
p_002946,rereading,lab,undergraduate,low,late,west,0
p_002947,rereading,lab,undergraduate,low,early,west,0
p_002948,retrieval_practice,lab,undergraduate,low,early,east,1
p_002949,retrieval_practice,lab,undergraduate,high,late,east,1
p_002950,retrieval_practice,lab,undergraduate,high,early,east,0
p_002951,rereading,lab,community,low,early,east,1
p_002952,rereading,lab,community,low,late,east,0
p_002953,rereading,remote,community,low,late,east,0
p_002954,retrieval_practice,lab,undergraduate,high,late,west,1
p_002955,retrieval_practice,remote,undergraduate,low,early,east,1
p_002956,rereading,lab,community,high,early,east,1
p_002957,rereading,lab,undergraduate,low,late,east,1
p_002958,rereading,remote,undergraduate,high,early,west,1
p_002959,retrieval_practice,lab,community,high,late,west,0
p_002960,retrieval_practice,remote,undergraduate,low,early,east,0
p_002961,retrieval_practice,lab,undergraduate,low,early,east,1
p_002962,rereading,lab,community,high,late,west,0
p_002963,rereading,lab,undergraduate,low,late,west,0
p_002964,rereading,lab,undergraduate,low,early,west,0
p_002965,rereading,remote,community,low,early,west,0
p_002966,retrieval_practice,remote,community,high,early,east,1
p_002967,rereading,remote,undergraduate,low,late,west,1
p_002968,retrieval_practice,remote,undergraduate,low,early,east,0
p_002969,retrieval_practice,remote,community,high,early,east,1
p_002970,rereading,lab,community,high,late,east,1
p_002971,rereading,lab,undergraduate,low,early,east,0
p_002972,retrieval_practice,lab,undergraduate,high,late,west,0
p_002973,retrieval_practice,remote,community,low,early,east,0
p_002974,retrieval_practice,lab,undergraduate,low,late,east,0
p_002975,rereading,lab,undergraduate,low,late,west,1
p_002976,rereading,remote,community,high,early,west,1
p_002977,rereading,remote,undergraduate,low,late,west,1
p_002978,retrieval_practice,remote,community,low,early,west,1
p_002979,retrieval_practice,lab,undergraduate,low,early,east,0
p_002980,retrieval_practice,remote,undergraduate,high,late,west,1
p_002981,rereading,remote,undergraduate,high,early,west,1
p_002982,rereading,remote,undergraduate,low,early,west,0
p_002983,retrieval_practice,lab,undergraduate,high,late,west,1
p_002984,retrieval_practice,remote,undergraduate,low,late,east,0
p_002985,retrieval_practice,lab,undergraduate,low,late,east,0
p_002986,rereading,lab,undergraduate,low,late,west,1
p_002987,retrieval_practice,lab,undergraduate,high,late,west,0
p_002988,rereading,remote,undergraduate,low,late,west,0
p_002989,retrieval_practice,lab,community,high,late,east,1
p_002990,rereading,remote,community,high,early,east,0
p_002991,retrieval_practice,remote,undergraduate,high,late,east,0
p_002992,rereading,lab,community,high,late,east,1
p_002993,rereading,lab,community,low,late,east,0
p_002994,rereading,remote,community,high,early,west,0
p_002995,rereading,lab,community,low,late,west,1
p_002996,rereading,remote,community,low,early,west,0
p_002997,retrieval_practice,lab,undergraduate,low,early,east,0
p_002998,retrieval_practice,lab,community,high,early,west,1
p_002999,rereading,remote,undergraduate,low,late,east,0
p_003000,rereading,remote,undergraduate,low,late,west,1
p_003001,rereading,lab,community,low,early,west,0
p_003002,retrieval_practice,lab,community,low,late,east,1
p_003003,retrieval_practice,remote,undergraduate,low,late,east,1
p_003004,retrieval_practice,remote,undergraduate,low,late,east,0
p_003005,rereading,remote,undergraduate,low,early,east,0
p_003006,rereading,remote,community,low,early,east,0
p_003007,retrieval_practice,lab,undergraduate,high,early,west,1
p_003008,rereading,remote,undergraduate,high,early,east,1
p_003009,retrieval_practice,lab,undergraduate,low,late,west,0
p_003010,retrieval_practice,lab,community,high,late,east,0
p_003011,retrieval_practice,lab,undergraduate,low,late,west,0
p_003012,retrieval_practice,remote,undergraduate,high,late,east,1
p_003013,retrieval_practice,remote,undergraduate,low,early,east,0
p_003014,rereading,remote,undergraduate,low,early,west,0
p_003015,rereading,lab,community,low,late,east,0
p_003016,rereading,lab,community,high,late,west,0
p_003017,rereading,lab,undergraduate,low,late,east,0
p_003018,retrieval_practice,lab,undergraduate,low,late,west,0
p_003019,rereading,remote,community,low,early,west,0
p_003020,retrieval_practice,lab,undergraduate,low,early,east,0
p_003021,retrieval_practice,remote,community,low,late,west,1
p_003022,rereading,remote,undergraduate,high,late,west,0
p_003023,retrieval_practice,lab,community,low,early,west,1
p_003024,retrieval_practice,remote,community,low,late,east,1
p_003025,retrieval_practice,remote,community,low,early,west,1
p_003026,rereading,remote,undergraduate,high,late,east,1
p_003027,retrieval_practice,lab,community,low,late,west,1
p_003028,rereading,lab,community,high,early,east,1
p_003029,retrieval_practice,lab,undergraduate,low,early,east,0
p_003030,rereading,lab,community,low,early,west,0
p_003031,rereading,lab,undergraduate,high,early,west,1
p_003032,retrieval_practice,remote,undergraduate,low,late,east,1
p_003033,rereading,lab,community,high,early,east,0
p_003034,retrieval_practice,lab,undergraduate,high,late,west,1
p_003035,retrieval_practice,lab,undergraduate,high,early,east,1
p_003036,retrieval_practice,lab,community,low,late,west,1
p_003037,retrieval_practice,lab,undergraduate,low,late,west,1
p_003038,rereading,remote,undergraduate,low,early,west,0
p_003039,rereading,lab,community,high,late,east,1
p_003040,retrieval_practice,lab,undergraduate,high,late,west,1
p_003041,rereading,lab,undergraduate,high,early,west,1
p_003042,retrieval_practice,remote,undergraduate,high,late,west,1
p_003043,rereading,remote,undergraduate,low,early,east,0
p_003044,rereading,remote,community,low,late,west,0
p_003045,retrieval_practice,lab,community,low,late,west,0
p_003046,rereading,lab,undergraduate,high,early,west,0
